sample_index,filename,filepath,layer_1_thickness_m,layer_1_sand_pct,layer_1_silt_pct,layer_1_clay_pct,layer_1_theta_v,layer_1_bulk_density_gcm3,layer_1_particle_density_gcm3,layer_1_organic_fraction,layer_1_salinity_class,layer_2_thickness_m,layer_2_sand_pct,layer_2_silt_pct,layer_2_clay_pct,layer_2_theta_v,layer_2_bulk_density_gcm3,layer_2_particle_density_gcm3,layer_2_organic_fraction,layer_2_salinity_class
1,gpr_dataset_0001.in,datasets/check001/files/gpr_dataset_0001.in,0.22788535969157675,51.768771,32.595728,15.635501,0.26047068212460184,1.5030098462268735,2.689217956770485,0.05,,0.3608571828405913,44.581417,35.485589,19.932995,0.17580329321550436,1.407960790905159,2.619883765068665,0.02,
3,gpr_dataset_0003.in,datasets/check001/files/gpr_dataset_0003.in,0.24594635733876358,48.786648,37.954672,13.25868,0.23280609469098404,1.5488213992758986,2.661851975236425,0.05,,0.9031948302175441,41.09633,43.613121,15.290549,0.13418474134773203,1.486816389080632,2.6079791976923627,0.02,
4,gpr_dataset_0004.in,datasets/check001/files/gpr_dataset_0004.in,0.14655817727220605,50.06178,30.451019,19.487201,0.20472482684551263,1.411054290135065,2.620950703077149,0.05,,0.4868844754343793,43.208799,38.090762,18.700439,0.12567079722971455,1.6187380393851047,2.616340249376193,0.02,
5,gpr_dataset_0005.in,datasets/check001/files/gpr_dataset_0005.in,0.17589108835152956,55.279668,30.325451,14.394881,0.2526921376484812,1.552855576056943,2.6775999911546244,0.05,,0.46033365037487306,36.207677,42.904071,20.888252,0.13164742653794897,1.6828729143005163,2.687636762647267,0.02,
7,gpr_dataset_0007.in,datasets/check001/files/gpr_dataset_0007.in,0.20190525873529291,56.620475,28.355234,15.024291,0.2441169062554635,1.5376238093088892,2.6422159966799685,0.05,,0.34446939430636997,34.894573,46.290495,18.814932,0.24566175664204273,1.6582339106703494,2.601148102194282,0.02,
8,gpr_dataset_0008.in,datasets/check001/files/gpr_dataset_0008.in,0.24414436387203892,55.269143,31.676438,13.054419,0.24614426978697118,1.3334656520787629,2.6434765250669106,0.05,,0.6176065944304445,42.963751,41.5987,15.437549,0.17508791695754475,1.4535955641590392,2.6912627839344823,0.02,
9,gpr_dataset_0009.in,datasets/check001/files/gpr_dataset_0009.in,0.27410371396735334,48.471178,34.563289,16.965533,0.1729258902824452,1.5287532400225454,2.6539379030119625,0.05,,0.8450385350413907,45.697772,33.773817,20.528411,0.10292151135787485,1.678729584879385,2.6878721877823186,0.02,
10,gpr_dataset_0010.in,datasets/check001/files/gpr_dataset_0010.in,0.2663331058722359,43.906858,37.35842,18.734722,0.16925871967496442,1.4425847134296195,2.6549803593494947,0.05,,0.48553964025804136,46.053515,37.331828,16.614657,0.18089441331691875,1.618979320726993,2.62011510633897,0.02,
11,gpr_dataset_0011.in,datasets/check001/files/gpr_dataset_0011.in,0.16234325826017898,55.837176,30.757909,13.404915,0.2276363761553386,1.3363012587604797,2.6224697337031557,0.05,,0.5366598935032187,44.635981,36.979862,18.384157,0.11064896290135488,1.5893308871810297,2.6228941783811157,0.02,
12,gpr_dataset_0012.in,datasets/check001/files/gpr_dataset_0012.in,0.28108400260122557,59.985514,27.290081,12.724405,0.29032713608710065,1.4713129279975854,2.6472671026311794,0.05,,0.8492335970035274,48.109213,35.243509,16.647277,0.16465767736095663,1.5270735869059762,2.6467024668036676,0.02,
13,gpr_dataset_0013.in,datasets/check001/files/gpr_dataset_0013.in,0.2458151698919701,51.344319,38.10764,10.548041,0.21039319231534032,1.401790781618489,2.686167253635279,0.05,,0.4740594337441999,36.745563,42.363344,20.891093,0.14178177170004108,1.4749419343646302,2.6923265599276016,0.02,
14,gpr_dataset_0014.in,datasets/check001/files/gpr_dataset_0014.in,0.18862614901069139,57.957612,31.402373,10.640014,0.29989237026190896,1.5508082755239856,2.6968996257284754,0.05,,0.9484568881056892,46.900493,33.274132,19.825375,0.13206209487987725,1.5203120877648357,2.605863539997218,0.02,
15,gpr_dataset_0015.in,datasets/check001/files/gpr_dataset_0015.in,0.17579462379538321,58.05117,24.602653,17.346176,0.21825125510087148,1.426902245797049,2.6957317640859677,0.05,,0.9967958826448997,40.296738,43.484772,16.21849,0.14450617382418462,1.6906128094907475,2.6579180290816256,0.02,
16,gpr_dataset_0016.in,datasets/check001/files/gpr_dataset_0016.in,0.20843904027485483,59.774599,22.995703,17.229698,0.22542755743792703,1.5558159676144858,2.6157432727939485,0.05,,0.9725452322921153,36.632162,39.082948,24.28489,0.2012818830406135,1.4705611685002793,2.6119886613947125,0.02,
17,gpr_dataset_0017.in,datasets/check001/files/gpr_dataset_0017.in,0.2780574628258875,48.301289,34.287599,17.411112,0.21288373730038085,1.4751016867873674,2.652278271553196,0.05,,0.9542943804154991,35.581054,46.269042,18.149903,0.15936787701868818,1.6015070668879914,2.6299997079798763,0.02,
18,gpr_dataset_0018.in,datasets/check001/files/gpr_dataset_0018.in,0.1632354392543708,52.909424,34.514334,12.576242,0.17366202485358478,1.5501234863919422,2.6703539925087374,0.05,,0.728174436008165,44.57532,34.615571,20.809109,0.24083950058906559,1.4402873343180103,2.6115428670419103,0.02,
19,gpr_dataset_0019.in,datasets/check001/files/gpr_dataset_0019.in,0.12140719554188353,55.169208,27.492477,17.338315,0.2576418280708197,1.3610791936982358,2.6634237958885083,0.05,,0.48478873114128657,35.720502,43.20767,21.071828,0.11384477015691002,1.5270727317691177,2.6276680223972253,0.02,
20,gpr_dataset_0020.in,datasets/check001/files/gpr_dataset_0020.in,0.10070913781755647,54.991141,32.487499,12.52136,0.26118463625218963,1.4655041263379174,2.642768691898068,0.05,,0.306768789725838,30.526121,46.181417,23.292462,0.18183854338082833,1.650378505965805,2.6582509566489794,0.02,
21,gpr_dataset_0021.in,datasets/check001/files/gpr_dataset_0021.in,0.12961875711349652,49.87476,33.189569,16.93567,0.1815114807509631,1.3748589217668774,2.6102793621671787,0.05,,0.8460813693100098,44.556246,35.627609,19.816145,0.1231830007498307,1.6789643047081022,2.6864605696219965,0.02,
22,gpr_dataset_0022.in,datasets/check001/files/gpr_dataset_0022.in,0.2952412065861926,54.359925,26.462926,19.177149,0.27033527084057085,1.5592192085125838,2.681074931657439,0.05,,0.4867639967161304,45.013292,31.645748,23.34096,0.22878898770066725,1.4667301152636993,2.6816586605596933,0.02,
23,gpr_dataset_0023.in,datasets/check001/files/gpr_dataset_0023.in,0.1920606469357884,48.897486,38.082695,13.019818,0.15354966520521773,1.3579389364983125,2.6328261951197707,0.05,,0.9050470594212003,46.398398,33.46261,20.138992,0.15995175765400912,1.694344906159478,2.6536215732478725,0.02,
24,gpr_dataset_0024.in,datasets/check001/files/gpr_dataset_0024.in,0.2878474280649431,50.510172,35.862322,13.627507,0.24093132799592148,1.4534269179008434,2.638519543334473,0.05,,0.7036116304476197,37.220852,46.852348,15.9268,0.23883627482486242,1.5615355991278375,2.6719429999144846,0.02,
26,gpr_dataset_0026.in,datasets/check001/files/gpr_dataset_0026.in,0.12545755981183065,46.551799,37.318497,16.129704,0.2854208318598874,1.4846544747854142,2.6300949874565567,0.05,,0.6835560491949887,35.284875,42.022646,22.692479,0.18699771717935232,1.5964116871109215,2.6464988190247016,0.02,
27,gpr_dataset_0027.in,datasets/check001/files/gpr_dataset_0027.in,0.18843195986096148,52.231287,33.906671,13.862042,0.2727635196804996,1.5253414412622197,2.667279567055717,0.05,,0.4572484661981018,41.482901,37.217629,21.299469,0.17127045163282079,1.6549213083874195,2.607282822918457,0.02,
28,gpr_dataset_0028.in,datasets/check001/files/gpr_dataset_0028.in,0.18288820219954388,56.283236,25.563756,18.153008,0.22415657535156552,1.3731953318735317,2.6656058011111785,0.05,,0.30388137269662224,42.277157,42.635546,15.087298,0.16377192909141014,1.4527660045119595,2.695796604227954,0.02,
29,gpr_dataset_0029.in,datasets/check001/files/gpr_dataset_0029.in,0.20359155008874816,48.244743,35.3797,16.375557,0.2981838679599672,1.478635695540826,2.695003960844316,0.05,,0.9239981480673058,39.604939,41.603726,18.791335,0.22458537545821225,1.5643615851832484,2.6897208103233265,0.02,
30,gpr_dataset_0030.in,datasets/check001/files/gpr_dataset_0030.in,0.24873108843191696,56.791336,28.897203,14.311461,0.24564921551642344,1.5297441052891498,2.6521299812827985,0.05,,0.7387239058872468,41.804959,37.161457,21.033585,0.1407572660623277,1.4959128705256286,2.6540152222518456,0.02,
31,gpr_dataset_0031.in,datasets/check001/files/gpr_dataset_0031.in,0.12767481230323113,46.694537,35.449992,17.855471,0.1596343276070817,1.4222798108999761,2.654261114050392,0.05,,0.5910419638722091,35.342597,39.759487,24.897916,0.18761191213063377,1.6086568959493903,2.6856732032303934,0.02,
32,gpr_dataset_0032.in,datasets/check001/files/gpr_dataset_0032.in,0.25311891522361385,58.598949,24.762613,16.638438,0.26302126875890786,1.5560343851707314,2.695343033847011,0.05,,0.5933148978408753,42.046779,38.279276,19.673945,0.13308080414857285,1.4658264903864309,2.643583597604664,0.02,
34,gpr_dataset_0034.in,datasets/check001/files/gpr_dataset_0034.in,0.19233968881030233,50.809753,34.176683,15.013564,0.19902687073219627,1.5283689123682083,2.637912621556414,0.05,,0.8264068764883494,47.832883,35.942933,16.224184,0.1029074930575016,1.56182571437676,2.699990782850921,0.02,
36,gpr_dataset_0036.in,datasets/check001/files/gpr_dataset_0036.in,0.2533796196712481,46.629155,34.571901,18.798944,0.16717993070683465,1.5457903522933256,2.696472077303409,0.05,,0.3756691247603246,34.46841,40.936074,24.595517,0.2437259257308844,1.5189963324549882,2.671501470504947,0.02,
37,gpr_dataset_0037.in,datasets/check001/files/gpr_dataset_0037.in,0.115199295568612,55.262288,33.421786,11.315926,0.2658721327426836,1.555087971726639,2.6600411614816846,0.05,,0.38473854554712056,43.652175,40.116039,16.231786,0.16425670198521167,1.5111712628654168,2.650596078967708,0.02,
38,gpr_dataset_0038.in,datasets/check001/files/gpr_dataset_0038.in,0.16824623497225663,54.540715,34.87931,10.579975,0.29411813508218676,1.4906755318304339,2.682870731100246,0.05,,0.7951160505942538,35.828956,41.351117,22.819927,0.14051235945811014,1.6424597656420268,2.6538172906448256,0.02,
39,gpr_dataset_0039.in,datasets/check001/files/gpr_dataset_0039.in,0.19669950077663922,50.732696,36.057048,13.210256,0.2777569740028998,1.549219305667181,2.6086662898055675,0.05,,0.9171418288019404,36.607041,41.243002,22.149957,0.1568483956192396,1.4086099993310268,2.685095283631246,0.02,
40,gpr_dataset_0040.in,datasets/check001/files/gpr_dataset_0040.in,0.13636797143153837,47.26629,38.414223,14.319487,0.28204799696373384,1.5103551250996605,2.6276268575756188,0.05,,0.30710578010707396,47.593298,30.826234,21.580468,0.1732866770273181,1.6274493960447398,2.6690609339446523,0.02,
41,gpr_dataset_0041.in,datasets/check001/files/gpr_dataset_0041.in,0.22918057994819044,51.566801,37.118605,11.314594,0.18323946007087952,1.5075361465885606,2.630620603013009,0.05,,0.7070889097326569,39.727936,40.888842,19.383222,0.21189031550704146,1.499237389158779,2.670285494218577,0.02,
42,gpr_dataset_0042.in,datasets/check001/files/gpr_dataset_0042.in,0.15418328539523926,56.733975,28.239833,15.026192,0.1679332111882579,1.460759189615125,2.6762189609484106,0.05,,0.42960488970636335,35.662351,41.226882,23.110767,0.24649105343245853,1.5573910607325823,2.6282998703274956,0.02,
43,gpr_dataset_0043.in,datasets/check001/files/gpr_dataset_0043.in,0.12010522161815816,54.698123,30.600468,14.701409,0.15212225508840957,1.4602405267802991,2.627431132678327,0.05,,0.9820064517719165,40.548835,43.393637,16.057528,0.2302691795894416,1.5472636083571336,2.6872719734998536,0.02,
44,gpr_dataset_0044.in,datasets/check001/files/gpr_dataset_0044.in,0.21481284392526645,54.85053,31.995859,13.153611,0.15770650757753668,1.5823190790304311,2.647772918726569,0.05,,0.8754809517096012,41.870299,34.675137,23.454564,0.10804136114387998,1.4447592753420964,2.6562839597084564,0.02,
47,gpr_dataset_0047.in,datasets/check001/files/gpr_dataset_0047.in,0.24139116597580665,54.052061,29.07649,16.871449,0.28858665667238226,1.5363484079940195,2.6625058007164224,0.05,,0.7628281299973574,45.226322,35.776013,18.997665,0.1971452085103721,1.6725234335637817,2.6826631159650063,0.02,
48,gpr_dataset_0048.in,datasets/check001/files/gpr_dataset_0048.in,0.11428196737116283,58.126929,29.154122,12.718949,0.25330169868181407,1.5099201054927152,2.694267624074404,0.05,,0.6503305239825479,45.895911,36.380776,17.723313,0.16480429962411589,1.4966964750074898,2.6250367902412006,0.02,
49,gpr_dataset_0049.in,datasets/check001/files/gpr_dataset_0049.in,0.11826537732619705,53.028868,32.870266,14.100866,0.29261794167095284,1.5998717250632355,2.667228158430324,0.05,,0.4886577181769377,32.210621,47.184993,20.604386,0.19772642341505298,1.6748218363780303,2.6181489147223127,0.02,
50,gpr_dataset_0050.in,datasets/check001/files/gpr_dataset_0050.in,0.21706592505557087,56.393631,31.928162,11.678207,0.20219415844419755,1.3999925180995276,2.6670133509521188,0.05,,0.9004131660802468,37.209386,44.608748,18.181865,0.24177903093448158,1.6440698104213918,2.6550096608971785,0.02,
51,gpr_dataset_0051.in,datasets/check001/files/gpr_dataset_0051.in,0.19096518172034588,54.161944,31.437376,14.40068,0.17813738120917905,1.4085338077455027,2.6756443154055574,0.05,,0.7377861195015063,45.307111,34.152046,20.540843,0.23915091412666717,1.5314348285217134,2.6698250029122175,0.02,
52,gpr_dataset_0052.in,datasets/check001/files/gpr_dataset_0052.in,0.12428521667252397,57.157575,30.929923,11.912502,0.17375672457078487,1.4652517021008011,2.6552251409053733,0.05,,0.36524644089706576,42.34276,40.995012,16.662229,0.11761992236343363,1.6496429521306704,2.6498375504707194,0.02,
53,gpr_dataset_0053.in,datasets/check001/files/gpr_dataset_0053.in,0.2433206651983582,53.38413,27.096113,19.519757,0.2970366948905063,1.3731192718225416,2.6551265076880473,0.05,,0.5685102092730049,43.095486,35.735272,21.169241,0.22960404016428823,1.4828742208466121,2.6790006182003117,0.02,
54,gpr_dataset_0054.in,datasets/check001/files/gpr_dataset_0054.in,0.18298848471026902,54.822597,28.170108,17.007294,0.19242584749242397,1.3895667549315303,2.658693772241416,0.05,,0.9992316332605371,42.718824,35.396376,21.884801,0.15176859125395115,1.5655752251212431,2.6543430062958673,0.02,
55,gpr_dataset_0055.in,datasets/check001/files/gpr_dataset_0055.in,0.19106892337330023,53.261804,27.267804,19.470392,0.23576964629773517,1.370068733817368,2.677554447509926,0.05,,0.33055310936811133,40.043709,39.339467,20.616825,0.15791181287364736,1.5991066488453602,2.6820747551709556,0.02,
56,gpr_dataset_0056.in,datasets/check001/files/gpr_dataset_0056.in,0.29616362773195704,58.254517,24.209667,17.535815,0.23852706439643506,1.5609100940086647,2.687419037405431,0.05,,0.608214346839474,39.770532,38.415572,21.813896,0.16149679296195465,1.59643439792832,2.615436121877155,0.02,
57,gpr_dataset_0057.in,datasets/check001/files/gpr_dataset_0057.in,0.19389812019694638,57.608384,25.970718,16.420898,0.24747549788689088,1.5555295877052076,2.6852341336565893,0.05,,0.9015395289177865,39.117727,37.799627,23.082646,0.21391027140015456,1.6617149052195608,2.6035899099837687,0.02,
59,gpr_dataset_0059.in,datasets/check001/files/gpr_dataset_0059.in,0.15867355519304177,55.409342,26.728217,17.862441,0.23488920928739052,1.537755842164286,2.61699836490681,0.05,,0.35527784546199626,44.224121,39.539718,16.236161,0.2369243524035332,1.4429353160385527,2.6461149913354998,0.02,
60,gpr_dataset_0060.in,datasets/check001/files/gpr_dataset_0060.in,0.15079546788270845,56.248882,32.525655,11.225462,0.21625946754057215,1.4036696873329246,2.6587571705126423,0.05,,0.7472570916520085,39.700546,36.106393,24.193061,0.12988254986633385,1.5154079746902036,2.6483208061059216,0.02,
61,gpr_dataset_0061.in,datasets/check001/files/gpr_dataset_0061.in,0.14744114038551492,50.007435,30.620012,19.372553,0.1942846130824904,1.5933833453730588,2.6658229815928682,0.05,,0.49213626612475936,38.442591,40.673128,20.884281,0.10735663761639999,1.5819219479229423,2.649672728652387,0.02,
62,gpr_dataset_0062.in,datasets/check001/files/gpr_dataset_0062.in,0.2808310581787451,46.765952,36.79714,16.436908,0.20284814337529747,1.4909853634017676,2.6620891163130307,0.05,,0.7744351210363516,40.021931,38.90923,21.068839,0.19423721555303475,1.6710211112218905,2.6646340608890524,0.02,
64,gpr_dataset_0064.in,datasets/check001/files/gpr_dataset_0064.in,0.2612976987587533,59.156633,28.833853,12.009514,0.29443399393033165,1.3422271045017649,2.6966500209462754,0.05,,0.9020984178291753,37.458638,41.765381,20.77598,0.22068814660308428,1.5097325148216698,2.679068196858894,0.02,
65,gpr_dataset_0065.in,datasets/check001/files/gpr_dataset_0065.in,0.10278373102018024,52.541256,30.13369,17.325054,0.25085111960265194,1.4753680274956498,2.6822417301226777,0.05,,0.9582043242456879,39.183224,42.24012,18.576656,0.23263522678222784,1.5684222146749636,2.691525590874316,0.02,
66,gpr_dataset_0066.in,datasets/check001/files/gpr_dataset_0066.in,0.144273440014798,42.612901,37.669216,19.717883,0.19532852617938753,1.422488756738624,2.613977701250722,0.05,,0.9623830730173624,39.262999,43.35954,17.37746,0.23308889627927534,1.4406992146119009,2.6453643756888896,0.02,
67,gpr_dataset_0067.in,datasets/check001/files/gpr_dataset_0067.in,0.23409724377003424,50.811334,36.045384,13.143281,0.26134035221479734,1.3463568707229505,2.6414884527436806,0.05,,0.36931514429736995,38.829986,37.244438,23.925576,0.10490744302825704,1.5111589876203306,2.6443383086060703,0.02,
